series_id,type,title,genre,description
1,Movie,Dark Skies,Horror Movies Sci-Fi Fantasy,A family's idyllic suburban life shatters when an alien force invades their home and as they struggle to convince others of the deadly threat.
2,TV Show,Squid Game,International TV Shows TV Dramas TV Thrillers,Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside a tempting prize awaits — with deadly high stakes.
3,Movie,Catch Me If You Can,Dramas,An FBI agent makes it his mission to put cunning con man Frank Abagnale Jr. behind bars. But Frank not only eludes capture he revels in the pursuit.
4,Movie,Pineapple Express,Action & Adventure Comedies,After witnessing a murder a perpetually stoned process server and his good-natured dealer go on the run from a drug lord who's out to kill them.
5,Movie,Django Unchained,Action & Adventure Dramas,Accompanied by a German bounty hunter a freed slave named Django travels across America to free his wife from a sadistic plantation owner.
6,TV Show,Ouran High School Host Club,Anime Series Romantic TV Shows Teen TV Shows,New student Haruhi stumbles on the Ouran High School Host Club an all-male group that makes money by entertaining the girls of the school.
7,Movie,Bo Burnham: Inside,Stand-Up Comedy,A new comedy special shot and performed by Bo Burnham alone over the course of the past year.
